epoch,loss,top_1_accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_top_1_accuracy,val_top_2_accuracy,val_top_3_accuracy
0,1.854244589805603,0.4967048168182373,0.6533125042915344,0.7277141809463501,1.305367112159729,0.6720167398452759,0.8129797577857971,0.8715980648994446
1,1.1413087844848633,0.7056885361671448,0.8425251245498657,0.8988900184631348,1.001685380935669,0.7397069334983826,0.8604326844215393,0.9134682416915894
2,0.9085652232170105,0.7653486132621765,0.8812001347541809,0.9262920618057251,0.8586387634277344,0.776692271232605,0.8925331234931946,0.9302163124084473
3,0.7801587581634521,0.7995144128799438,0.8990634679794312,0.9382587671279907,0.7574758529663086,0.8073970675468445,0.9043963551521301,0.9392881989479065
4,0.6946369409561157,0.8184183239936829,0.9207422733306885,0.9512660503387451,0.6917214393615723,0.8241451382637024,0.9120725989341736,0.9462665915489197
5,0.6216047406196594,0.8418314456939697,0.9273326396942139,0.9597641229629517,0.6408339142799377,0.8255408406257629,0.919050931930542,0.9539427757263184
6,0.561840295791626,0.8560526967048645,0.9399930834770203,0.9670482277870178,0.5995676517486572,0.8387997150421143,0.927424967288971,0.957431972026825
7,0.5255479216575623,0.8622962236404419,0.9434616565704346,0.9706902503967285,0.5751011967658997,0.8429867625236511,0.9316120147705078,0.9588276147842407
8,0.4979012906551361,0.8697537183761597,0.9481443166732788,0.9701699614524841,0.5307437181472778,0.8625261783599854,0.9434752464294434,0.9637125134468079
9,0.46614688634872437,0.8787721395492554,0.9547346234321594,0.9745057225227356,0.5177553296089172,0.8590369820594788,0.9413816928863525,0.9665038585662842
10,0.43334779143333435,0.8884842395782471,0.9552549719810486,0.9784946441650391,0.49990910291671753,0.8569434881210327,0.9399860501289368,0.9665038585662842
11,0.4125586152076721,0.8959417343139648,0.962192177772522,0.9800555109977722,0.48050302267074585,0.8653175234794617,0.9497557282447815,0.9713886976242065
12,0.39229556918144226,0.8935136795043945,0.9597641229629517,0.9802289009094238,0.4610954821109772,0.870202362537384,0.9483600854873657,0.9713886976242065
13,0.3792499303817749,0.9037460684776306,0.9635795950889587,0.9805757999420166,0.45415785908699036,0.870202362537384,0.9462665915489197,0.9692952036857605
14,0.373860239982605,0.9021852016448975,0.9658342003822327,0.9840443730354309,0.43874847888946533,0.878576397895813,0.9525471329689026,0.9713886976242065
15,0.3437609374523163,0.90964275598526,0.9693028330802917,0.9856052994728088,0.4279172122478485,0.8813677430152893,0.9497557282447815,0.9727843403816223
16,0.34607255458831787,0.9092958569526672,0.9661810398101807,0.9817898273468018,0.4177572429180145,0.8771807551383972,0.9539427757263184,0.9755756855010986
17,0.32598885893821716,0.9188345670700073,0.9708636999130249,0.9842178225517273,0.4117361307144165,0.8813677430152893,0.9546406269073486,0.9755756855010986
18,0.30947038531303406,0.9183142781257629,0.9731183052062988,0.9880332946777344,0.4102720022201538,0.8792742490768433,0.9546406269073486,0.9762735366821289
19,0.3020288050174713,0.9255983233451843,0.9739854335784912,0.9885535836219788,0.39733389019966125,0.8897417783737183,0.9581298232078552,0.9741800427436829
20,0.3022480607032776,0.9195282459259033,0.9738119840621948,0.987166166305542,0.3856453597545624,0.8890439867973328,0.959525465965271,0.9762735366821289
21,0.2840328812599182,0.9231703281402588,0.975372850894928,0.9885535836219788,0.38159626722335815,0.8939288258552551,0.9546406269073486,0.9727843403816223
22,0.2866028845310211,0.9212625622749329,0.9745057225227356,0.9887270331382751,0.3814406394958496,0.8876482844352722,0.9630146622657776,0.9776692390441895
23,0.27118101716041565,0.9262920618057251,0.9748525619506836,0.9889004230499268,0.3776518702507019,0.8890439867973328,0.959525465965271,0.9748778939247131
24,0.26418548822402954,0.929240345954895,0.9774540662765503,0.9894207715988159,0.37007033824920654,0.8918353319168091,0.9602233171463013,0.9797627329826355
25,0.26178839802742004,0.9330558180809021,0.9802289009094238,0.9889004230499268,0.36066755652427673,0.8932309746742249,0.959525465965271,0.9741800427436829
26,0.24750514328479767,0.9384322166442871,0.9779743552207947,0.9904613494873047,0.36183956265449524,0.8967201709747314,0.9644103050231934,0.9797627329826355
27,0.2548125684261322,0.9323621392250061,0.9790149331092834,0.9899410605430603,0.3586370050907135,0.8890439867973328,0.9623168110847473,0.9797627329826355
28,0.24374845623970032,0.9334027171134949,0.9788414835929871,0.9916753172874451,0.3565703332424164,0.8974180221557617,0.959525465965271,0.981158435344696
29,0.23698779940605164,0.9373915791511536,0.9831772446632385,0.9928893446922302,0.354716956615448,0.8946266770362854,0.959525465965271,0.9790648818016052
30,0.23660190403461456,0.9380853176116943,0.9798820614814758,0.9913284778594971,0.34826451539993286,0.8953244686126709,0.961618959903717,0.9804605841636658
31,0.23095756769180298,0.9377384781837463,0.9807491898536682,0.9928893446922302,0.3453731834888458,0.8988136649131775,0.9609211683273315,0.9804605841636658
32,0.21640545129776,0.9467568397521973,0.9840443730354309,0.9942768216133118,0.34356892108917236,0.8988136649131775,0.9602233171463013,0.9783670902252197
33,0.21911656856536865,0.9431148171424866,0.9840443730354309,0.9921956062316895,0.3408871591091156,0.900209367275238,0.9637125134468079,0.9832519292831421
34,0.21163378655910492,0.9472771286964417,0.9838709831237793,0.9932361841201782,0.33931922912597656,0.8988136649131775,0.9588276147842407,0.9762735366821289
35,0.2140583097934723,0.9457162618637085,0.9861255884170532,0.9947971105575562,0.3349519670009613,0.9030007123947144,0.9630146622657776,0.9790648818016052
36,0.20620830357074738,0.94710373878479,0.9850850105285645,0.9946236610412598,0.3349277973175049,0.8974180221557617,0.9609211683273315,0.9797627329826355
37,0.20002835988998413,0.9509192109107971,0.9850850105285645,0.9951439499855042,0.3344420790672302,0.9009071588516235,0.9637125134468079,0.9825540781021118
38,0.20110665261745453,0.943635106086731,0.9869927167892456,0.9954907894134521,0.32821813225746155,0.908583402633667,0.9665038585662842,0.9825540781021118
39,0.2022554725408554,0.947450578212738,0.9856052994728088,0.993583083152771,0.3383459448814392,0.900209367275238,0.9602233171463013,0.9797627329826355
40,0.1862742155790329,0.9549080729484558,0.9880332946777344,0.9953173995018005,0.3285343647003174,0.9023028612136841,0.9651081562042236,0.981158435344696
41,0.1842721849679947,0.953520655632019,0.9873395562171936,0.9954907894134521,0.327365517616272,0.9030007123947144,0.9609211683273315,0.981158435344696
