epoch,loss,top_1_accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_top_1_accuracy,val_top_2_accuracy,val_top_3_accuracy
0,3.4584038257598877,0.37356919050216675,0.5057231783866882,0.5905306935310364,1.464269757270813,0.5931612253189087,0.7334263920783997,0.8122819066047668
1,1.0359821319580078,0.6964967250823975,0.8319458961486816,0.8909122347831726,0.9639089107513428,0.7138869762420654,0.8332170248031616,0.8953244686126709
2,0.6263934373855591,0.8062781691551208,0.9025321006774902,0.9398196339607239,0.7984654307365417,0.7620376944541931,0.8792742490768433,0.9204466342926025
3,0.45046278834342957,0.8548387289047241,0.9396461844444275,0.9653139114379883,0.6454771161079407,0.8011165261268616,0.8995115160942078,0.9420795440673828
4,0.3480636477470398,0.8900451064109802,0.9547346234321594,0.9755463004112244,0.6140316724777222,0.8206559419631958,0.9113747477531433,0.9455687403678894
5,0.27533650398254395,0.909989595413208,0.9653139114379883,0.9817898273468018,0.6055297255516052,0.8101884126663208,0.9120725989341736,0.9504535794258118
6,0.23508115112781525,0.9252514839172363,0.9712105393409729,0.9849115610122681,0.5579375624656677,0.8332170248031616,0.9197487831115723,0.9546406269073486
7,0.2068285048007965,0.934963583946228,0.9779743552207947,0.9897676110267639,0.5435870289802551,0.8353105187416077,0.9309141635894775,0.9623168110847473
8,0.1677016317844391,0.9486646056175232,0.9826569557189941,0.9918487668037415,0.5808916687965393,0.8318213820457458,0.9281228184700012,0.957431972026825
9,0.1617215871810913,0.9472771286964417,0.9859521389007568,0.9941033720970154,0.4797375500202179,0.8562456369400024,0.9357990026473999,0.9713886976242065
10,0.1421716958284378,0.9556018114089966,0.9885535836219788,0.9954907894134521,0.5536227822303772,0.8429867625236511,0.9288206696510315,0.9678995013237
11,0.1298855096101761,0.960284411907196,0.9902878999710083,0.9965313673019409,0.5336139798164368,0.8325191736221313,0.9448708891868591,0.9678995013237
12,0.11295574903488159,0.9642733335494995,0.9920222163200378,0.9972251057624817,0.4966605305671692,0.8555477857589722,0.9378925561904907,0.969992995262146
13,0.07094815373420715,0.9828304052352905,0.9972251057624817,0.9994797110557556,0.455752968788147,0.8764829039573669,0.9469643831253052,0.9713886976242065
14,0.06192004308104515,0.9861255884170532,0.9979188442230225,0.9989594221115112,0.4499669671058655,0.8722958564758301,0.9497557282447815,0.9762735366821289
15,0.05781635269522667,0.9887270331382751,0.9980922937393188,0.9991328716278076,0.4568856358528137,0.8743894100189209,0.9546406269073486,0.9776692390441895
16,0.055310770869255066,0.9897676110267639,0.9979188442230225,0.9994797110557556,0.4695727527141571,0.8729937076568604,0.9546406269073486,0.9769713878631592
17,0.05162670090794563,0.9913284778594971,0.9979188442230225,0.9994797110557556,0.45968616008758545,0.870202362537384,0.9483600854873657,0.9783670902252197
18,0.04118337854743004,0.9958376884460449,0.9993062615394592,0.999653160572052,0.44444164633750916,0.8757850527763367,0.9504535794258118,0.9741800427436829
19,0.039968427270650864,0.9961845278739929,0.9993062615394592,0.999653160572052,0.44289630651474,0.8715980648994446,0.9532449245452881,0.9769713878631592
20,0.03832924738526344,0.9958376884460449,0.9991328716278076,0.999653160572052,0.4414351284503937,0.8820655941963196,0.9525471329689026,0.9783670902252197
21,0.037525031715631485,0.9968782663345337,0.9994797110557556,0.9998265504837036,0.4486904740333557,0.8764829039573669,0.9553384780883789,0.9790648818016052
22,0.036305952817201614,0.9968782663345337,0.9994797110557556,0.9998265504837036,0.4652256369590759,0.8722958564758301,0.9546406269073486,0.9790648818016052
23,0.03464926779270172,0.9972251057624817,0.9994797110557556,0.9998265504837036,0.4513014554977417,0.8715980648994446,0.957431972026825,0.9790648818016052
24,0.029949108138680458,0.9986125826835632,0.9998265504837036,0.9998265504837036,0.44674351811408997,0.8764829039573669,0.9560362696647644,0.9797627329826355
25,0.02944350615143776,0.9989594221115112,0.999653160572052,0.9998265504837036,0.444670170545578,0.8764829039573669,0.9532449245452881,0.9804605841636658
26,0.02841583825647831,0.9989594221115112,0.9998265504837036,0.9998265504837036,0.4477451741695404,0.8778785467147827,0.9581298232078552,0.9783670902252197
27,0.028749464079737663,0.9986125826835632,0.9998265504837036,0.9998265504837036,0.44645291566848755,0.8771807551383972,0.9553384780883789,0.9804605841636658
28,0.02626815065741539,0.9991328716278076,0.9998265504837036,0.9998265504837036,0.4471515119075775,0.8813677430152893,0.957431972026825,0.9797627329826355
29,0.0257343128323555,0.9991328716278076,0.9998265504837036,0.9998265504837036,0.44681626558303833,0.8799721002578735,0.9588276147842407,0.9797627329826355
30,0.02553226798772812,0.9993062615394592,0.9998265504837036,0.9998265504837036,0.4476187527179718,0.8792742490768433,0.959525465965271,0.9797627329826355
31,0.02516973949968815,0.9993062615394592,0.9998265504837036,0.9998265504837036,0.4422660171985626,0.878576397895813,0.957431972026825,0.9818562269210815
32,0.024007761850953102,0.9991328716278076,0.9998265504837036,0.9998265504837036,0.44407621026039124,0.8778785467147827,0.9581298232078552,0.981158435344696
33,0.023908087983727455,0.9993062615394592,0.9998265504837036,0.9998265504837036,0.4455532431602478,0.8792742490768433,0.9567341208457947,0.9797627329826355
34,0.02367016300559044,0.9993062615394592,0.9998265504837036,0.9998265504837036,0.44583067297935486,0.8792742490768433,0.9567341208457947,0.981158435344696
35,0.023540746420621872,0.9991328716278076,0.9998265504837036,0.9998265504837036,0.4444378614425659,0.8806699514389038,0.9560362696647644,0.9804605841636658
36,0.022972483187913895,0.9994797110557556,0.9998265504837036,0.9998265504837036,0.44550251960754395,0.878576397895813,0.9567341208457947,0.981158435344696
37,0.022953003644943237,0.9993062615394592,0.9998265504837036,0.9998265504837036,0.44626501202583313,0.8792742490768433,0.9567341208457947,0.9797627329826355
38,0.022796008735895157,0.999653160572052,0.9998265504837036,0.9998265504837036,0.445928692817688,0.8820655941963196,0.9560362696647644,0.9804605841636658
39,0.02274526283144951,0.9993062615394592,0.9998265504837036,0.9998265504837036,0.44532448053359985,0.8799721002578735,0.9560362696647644,0.9804605841636658
40,0.022453786805272102,0.999653160572052,0.9998265504837036,0.9998265504837036,0.4448090195655823,0.8806699514389038,0.9553384780883789,0.9804605841636658
41,0.022401412948966026,0.999653160572052,0.9998265504837036,0.9998265504837036,0.44548240303993225,0.8806699514389038,0.9560362696647644,0.9804605841636658
42,0.0223603006452322,0.9994797110557556,0.9998265504837036,0.9998265504837036,0.44530177116394043,0.8799721002578735,0.9553384780883789,0.9804605841636658
43,0.02233407273888588,0.9993062615394592,0.9998265504837036,0.9998265504837036,0.44548529386520386,0.8806699514389038,0.9560362696647644,0.981158435344696
44,0.022168563678860664,0.999653160572052,0.9998265504837036,0.9998265504837036,0.44565942883491516,0.8806699514389038,0.9560362696647644,0.981158435344696
45,0.022132596001029015,0.999653160572052,0.9998265504837036,0.9998265504837036,0.4452114999294281,0.8806699514389038,0.9553384780883789,0.9804605841636658
46,0.022107845172286034,0.999653160572052,0.9998265504837036,0.9998265504837036,0.4457051753997803,0.8806699514389038,0.9560362696647644,0.9804605841636658
47,0.02210649475455284,0.9994797110557556,0.9998265504837036,0.9998265504837036,0.44559523463249207,0.8806699514389038,0.9560362696647644,0.9804605841636658
48,0.022009560838341713,0.999653160572052,0.9998265504837036,0.9998265504837036,0.44550177454948425,0.8806699514389038,0.9560362696647644,0.9804605841636658
49,0.021999722346663475,0.999653160572052,0.9998265504837036,0.9998265504837036,0.4454968273639679,0.8806699514389038,0.9560362696647644,0.9804605841636658
