epoch,loss,top_1_accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_top_1_accuracy,val_top_2_accuracy,val_top_3_accuracy
0,1.2171458005905151,0.6415159702301025,0.7652990221977234,0.8285813927650452,0.7186022996902466,0.7915219068527222,0.8881167769432068,0.926337718963623
1,0.5392045974731445,0.8384909629821777,0.9264603853225708,0.9560152888298035,0.5453299283981323,0.8304377794265747,0.9221681952476501,0.9576094746589661
2,0.3707810044288635,0.8901251554489136,0.9520167112350464,0.9767037630081177,0.4242267906665802,0.862404465675354,0.9513550996780396,0.9742876887321472
3,0.2844128906726837,0.9151599407196045,0.9694019556045532,0.9871349334716797,0.4142757058143616,0.8735232949256897,0.9555246829986572,0.9784572720527649
4,0.21969783306121826,0.942107081413269,0.9820931553840637,0.9900904297828674,0.33828166127204895,0.8888116478919983,0.9541348218917847,0.9819319248199463
5,0.17658020555973053,0.9546244740486145,0.9864395260810852,0.9944367408752441,0.3427693843841553,0.8895065784454346,0.9596942067146301,0.9826267957687378
6,0.14633652567863464,0.9641863703727722,0.9883518815040588,0.9970445036888123,0.3264954090118408,0.892981231212616,0.9555246829986572,0.98123699426651
7,0.11969262361526489,0.9700973629951477,0.99339359998703,0.9972183704376221,0.3062218725681305,0.8964558839797974,0.9624739289283752,0.9888811707496643
8,0.10284916311502457,0.9768776297569275,0.9958275556564331,0.9982614517211914,0.3270333707332611,0.8874218463897705,0.9638637900352478,0.9840166568756104
9,0.09110860526561737,0.9810500741004944,0.9958275556564331,0.9984353184700012,0.32196491956710815,0.8818624019622803,0.9638637900352478,0.9840166568756104
10,0.08452330529689789,0.9810500741004944,0.9965229630470276,0.998609185218811,0.3245311975479126,0.8902015089988708,0.961778998374939,0.9819319248199463
11,0.0502471886575222,0.9940890073776245,0.9987830519676208,0.9996522665023804,0.25911200046539307,0.9166087508201599,0.9749826192855835,0.9895761013031006
12,0.04446747153997421,0.9958275556564331,0.9994784593582153,1.0,0.26990073919296265,0.9041000604629517,0.9749826192855835,0.9874913096427917
