epoch,loss,top_1_accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_top_1_accuracy,val_top_2_accuracy,val_top_3_accuracy
0,1.420114517211914,0.5975313186645508,0.7267037630081177,0.7925938963890076,0.8708586096763611,0.7484363913536072,0.8603196740150452,0.9117442965507507
1,0.6259230971336365,0.8296244740486145,0.9186369776725769,0.9535813927650452,0.6048136353492737,0.8346073627471924,0.9166087508201599,0.9478804469108582
2,0.4434782564640045,0.885604977607727,0.9521905183792114,0.9739221334457397,0.49528977274894714,0.8582348823547363,0.9305073022842407,0.9652536511421204
3,0.34088554978370667,0.9168984889984131,0.9680111408233643,0.9847009778022766,0.43034231662750244,0.8721334338188171,0.949965238571167,0.9715079665184021
4,0.281053364276886,0.9330667853355408,0.9770514369010925,0.9880041480064392,0.39029285311698914,0.8825573325157166,0.9562196135520935,0.9805420637130737
5,0.2362496703863144,0.9428024888038635,0.9838317036628723,0.9932197332382202,0.3549303412437439,0.8922863006591797,0.9589992761611938,0.9798471331596375
6,0.19763152301311493,0.9544506072998047,0.9880041480064392,0.9944367408752441,0.34559935331344604,0.8915913701057434,0.9624739289283752,0.9826267957687378
7,0.17298197746276855,0.9652295112609863,0.9916550517082214,0.9973922371864319,0.3286856710910797,0.8978457450866699,0.9631688594818115,0.9833217263221741
8,0.15063486993312836,0.9702712297439575,0.9925243258476257,0.9975660443305969,0.32390788197517395,0.8971508145332336,0.9603891372680664,0.9833217263221741
9,0.13501906394958496,0.9720097184181213,0.9944367408752441,0.9977399110794067,0.30249136686325073,0.9034051299095154,0.9624739289283752,0.9819319248199463
10,0.1176699548959732,0.9786161184310913,0.9954798221588135,0.9984353184700012,0.3114943504333496,0.8957609534263611,0.961778998374939,0.9819319248199463
11,0.1053614467382431,0.9833101630210876,0.9968706369400024,0.9984353184700012,0.29324713349342346,0.9034051299095154,0.9645587205886841,0.9826267957687378
12,0.0923960730433464,0.9850486516952515,0.9972183704376221,0.9982614517211914,0.2857958972454071,0.9110493659973145,0.9708130359649658,0.9867963790893555
13,0.08255764842033386,0.9890472888946533,0.9973922371864319,0.9996522665023804,0.272003173828125,0.9061848521232605,0.969423234462738,0.988186240196228
14,0.07415719330310822,0.9906119704246521,0.9975660443305969,0.9996522665023804,0.27150362730026245,0.9096595048904419,0.9735927581787109,0.9888811707496643
15,0.06674745678901672,0.9918289184570312,0.9984353184700012,0.9996522665023804,0.271774560213089,0.9186935424804688,0.9722028970718384,0.9854065179824829
16,0.061399493366479874,0.9920027852058411,0.998609185218811,0.9991307258605957,0.28314757347106934,0.9013203382492065,0.9701181650161743,0.9847115874290466
17,0.056949179619550705,0.9921766519546509,0.9994784593582153,0.9996522665023804,0.25831738114356995,0.9145239591598511,0.9715079665184021,0.9874913096427917
18,0.05028886720538139,0.994784414768219,0.9994784593582153,0.9994784593582153,0.2526284158229828,0.9166087508201599,0.9708130359649658,0.9874913096427917
19,0.045127321034669876,0.9953059554100037,0.9998261332511902,1.0,0.267497181892395,0.9117442965507507,0.9673384428024292,0.9895761013031006
20,0.040632788091897964,0.996175229549408,0.9996522665023804,1.0,0.2658897936344147,0.9152188897132874,0.9715079665184021,0.9888811707496643
21,0.038654159754514694,0.9958275556564331,0.9996522665023804,0.9998261332511902,0.2645476460456848,0.9138290286064148,0.9715079665184021,0.9861014485359192
22,0.02951647713780403,0.9982614517211914,0.9998261332511902,1.0,0.25171220302581787,0.9166087508201599,0.9722028970718384,0.9902710318565369
23,0.02799767628312111,0.9984353184700012,0.9998261332511902,1.0,0.254529744386673,0.9159138202667236,0.9701181650161743,0.988186240196228
24,0.026912834495306015,0.9982614517211914,0.9998261332511902,1.0,0.2467077523469925,0.9207783341407776,0.9722028970718384,0.9902710318565369
25,0.02531234733760357,0.9989568591117859,1.0,1.0,0.24963274598121643,0.9179986119270325,0.9687283039093018,0.9902710318565369
26,0.024598916992545128,0.998609185218811,0.9998261332511902,1.0,0.2500237822532654,0.9221681952476501,0.9708130359649658,0.988186240196228
27,0.023555563762784004,0.9991307258605957,1.0,1.0,0.24966366589069366,0.9200834035873413,0.9652536511421204,0.9895761013031006
28,0.020335901528596878,0.9993045926094055,0.9998261332511902,1.0,0.24662885069847107,0.9242529273033142,0.9708130359649658,0.9895761013031006
29,0.019658586010336876,0.9994784593582153,1.0,1.0,0.24618150293827057,0.9200834035873413,0.9715079665184021,0.9895761013031006
30,0.019209790974855423,0.9994784593582153,1.0,1.0,0.24629944562911987,0.9179986119270325,0.9728978276252747,0.9888811707496643
31,0.018875086680054665,0.9994784593582153,1.0,1.0,0.24656370282173157,0.9179986119270325,0.9715079665184021,0.9888811707496643
32,0.017990337684750557,0.9996522665023804,1.0,1.0,0.24811673164367676,0.9221681952476501,0.9701181650161743,0.9888811707496643
33,0.01694345660507679,0.9996522665023804,1.0,1.0,0.24645370244979858,0.9228631258010864,0.9708130359649658,0.9902710318565369
34,0.016714850440621376,0.9996522665023804,1.0,1.0,0.24771790206432343,0.9214732646942139,0.9708130359649658,0.9895761013031006
