epoch,accuracy,loss,val_accuracy,val_loss
0,0.539715588092804,2.5696094036102295,0.746685266494751,1.0439629554748535
1,0.7840790748596191,0.8474874496459961,0.7969295382499695,0.9067586660385132
2,0.832813024520874,0.6518680453300476,0.8185624480247498,0.7918444871902466
3,0.8716614842414856,0.5146080255508423,0.8478716015815735,0.7006876468658447
4,0.8909122347831726,0.4330756664276123,0.8590369820594788,0.6639987230300903
5,0.8900451064109802,0.4244692623615265,0.8457781076431274,0.7785165905952454
6,0.9110301733016968,0.364370733499527,0.8478716015815735,0.7565975785255432
7,0.9183142781257629,0.31436794996261597,0.8339148759841919,0.8640599250793457
8,0.9608047008514404,0.12568138539791107,0.8778785467147827,0.6276735663414001
9,0.968955934047699,0.09819046407938004,0.8771807551383972,0.5686752796173096
10,0.9731183052062988,0.0867496207356453,0.8876482844352722,0.5860947370529175
11,0.9717308282852173,0.08713807165622711,0.8911374807357788,0.536048412322998
12,0.9751994609832764,0.07394544035196304,0.8848569393157959,0.617614209651947
13,0.9793617725372314,0.061622269451618195,0.8743894100189209,0.6733096837997437
14,0.9800555109977722,0.06053083762526512,0.8813677430152893,0.6083716750144958
15,0.9930627942085266,0.02138058841228485,0.8848569393157959,0.5751412510871887
16,0.9970516562461853,0.012997490353882313,0.8946266770362854,0.5524129867553711
17,0.9947971105575562,0.017534490674734116,0.8897417783737183,0.5804262757301331
18,0.9972251057624817,0.013105734251439571,0.8960223197937012,0.5525163412094116
19,0.9987859725952148,0.007627562619745731,0.8939288258552551,0.569754421710968
20,0.9993062615394592,0.006116624455899,0.8981158137321472,0.5641083121299744
21,0.9994797110557556,0.005035517271608114,0.8925331234931946,0.5749250054359436
22,0.9991328716278076,0.005637659225612879,0.8939288258552551,0.5680208802223206
23,0.9998265504837036,0.0035123282577842474,0.8946266770362854,0.5634326934814453
24,0.9998265504837036,0.0032804759684950113,0.8946266770362854,0.5614382028579712
25,0.999653160572052,0.003517093602567911,0.8939288258552551,0.5711516737937927
26,0.999653160572052,0.003004397265613079,0.9009071588516235,0.5598077774047852
27,0.9998265504837036,0.002444666810333729,0.8981158137321472,0.5656247735023499
28,1.0,0.0024787122383713722,0.8967201709747314,0.5663006901741028
29,1.0,0.002466349396854639,0.8981158137321472,0.5683653354644775
30,0.9998265504837036,0.002410824177786708,0.8974180221557617,0.5649905800819397
31,1.0,0.002093296032398939,0.8995115160942078,0.5715348124504089
32,1.0,0.0021084044128656387,0.8974180221557617,0.5697457790374756
33,0.9998265504837036,0.0020813168957829475,0.8967201709747314,0.5699300765991211
34,1.0,0.0020492449402809143,0.8967201709747314,0.5751692652702332
35,1.0,0.0019561778753995895,0.8974180221557617,0.5710932016372681
36,1.0,0.001934303785674274,0.8988136649131775,0.5744432806968689
37,1.0,0.001935936976224184,0.8974180221557617,0.5707113742828369
38,1.0,0.0019049720140174031,0.8981158137321472,0.5739125609397888
39,1.0,0.0018701183144003153,0.8988136649131775,0.5720435976982117
40,1.0,0.001851968583650887,0.8988136649131775,0.5720352530479431
41,1.0,0.0018532852409407496,0.8988136649131775,0.5728200674057007
42,1.0,0.001849732710979879,0.8981158137321472,0.5728731155395508
43,1.0,0.0018153594573959708,0.8988136649131775,0.5724801421165466
44,1.0,0.0018152777338400483,0.8988136649131775,0.5723702311515808
45,1.0,0.0018123042536899447,0.8988136649131775,0.5726537704467773
46,1.0,0.0018076353007927537,0.8988136649131775,0.5726413130760193
47,1.0,0.0017955219373106956,0.8995115160942078,0.5727599263191223
48,1.0,0.0017932701157405972,0.8995115160942078,0.5727626085281372
49,1.0,0.0017922980478033423,0.8995115160942078,0.5728424787521362
